case,n_sources,n_cleared,clear_ratio,mean_time_s,virtual_time_s,travel_m,n_measure,n_clear,n_switch
0,13,13,1.000,308.3,4008.4,12367,237,37,213
1,12,12,1.000,372.1,4464.7,13248,285,35,261
2,12,12,1.000,300.5,3605.5,10513,243,15,219
3,16,16,1.000,273.8,4380.4,14547,233,23,205
4,10,10,1.000,385.1,3850.8,11254,260,14,238
5,15,15,1.000,299.6,4494.5,15543,220,22,190
6,16,16,1.000,259.9,4157.6,12753,246,43,216
7,11,11,1.000,331.9,3651.4,11322,222,18,201
8,13,13,1.000,354.4,4606.7,14484,273,24,247
9,12,12,1.000,354.2,4250.1,11720,304,26,284
10,15,15,1.000,306.4,4595.3,14761,248,51,220
11,10,10,1.000,439.7,4396.7,13694,270,14,246
12,11,11,1.000,410.7,4517.5,14058,272,25,249
13,15,15,1.000,264.0,3960.4,12517,229,27,201
14,15,15,1.000,253.1,3796.8,12004,216,32,190
15,12,12,1.000,315.2,3781.9,10704,264,18,243
16,14,14,1.000,264.9,3708.2,11491,222,25,197
17,14,14,1.000,275.4,3855.1,11541,247,21,221
18,16,16,1.000,262.4,4198.5,13907,217,38,186
19,12,12,1.000,275.5,3306.0,9800,215,18,193
20,13,13,1.000,321.5,4179.9,12560,259,37,236
21,11,11,1.000,401.1,4412.5,14723,234,21,213
22,11,11,1.000,351.7,3869.2,11881,241,15,221
23,10,10,1.000,439.7,4396.5,14443,243,15,228
24,15,15,1.000,252.0,3780.0,11895,217,32,190
25,12,12,1.000,329.8,3957.5,12018,248,22,224
26,15,15,1.000,289.4,4340.7,14484,227,28,195
27,15,15,1.000,298.5,4477.9,14605,247,25,217
28,11,11,1.000,426.0,4685.5,15587,252,19,229
29,10,10,1.000,447.4,4473.8,13654,279,24,256
30,15,15,1.000,261.8,3926.4,11712,249,29,222
31,14,14,1.000,351.9,4926.5,16882,241,34,215
32,14,14,1.000,266.7,3733.7,11518,224,26,204
33,15,15,1.000,256.4,3845.7,12378,215,26,187
34,12,12,1.000,307.5,3690.5,11413,227,15,204
35,15,15,1.000,285.0,4275.2,13226,258,27,229
36,13,13,1.000,343.9,4470.1,14411,250,28,228
37,16,16,1.000,259.6,4153.8,13269,227,45,198
38,12,12,1.000,344.2,4130.3,12837,252,16,231
39,13,13,1.000,362.1,4707.2,12871,342,26,319
40,13,13,1.000,384.4,4997.5,16738,258,34,232
41,15,15,1.000,280.4,4206.5,13852,227,25,196
42,10,10,1.000,428.7,4287.1,13516,257,14,237
43,10,10,1.000,392.8,3928.4,11722,256,14,242
44,15,15,1.000,283.6,4254.6,12373,284,24,258
45,10,10,1.000,357.5,3575.1,9920,253,23,237
46,10,10,1.000,399.6,3996.1,12595,237,17,221
47,15,15,1.000,249.6,3743.8,11564,225,25,201
48,16,16,1.000,260.9,4174.1,13596,230,24,201
49,14,14,1.000,340.8,4770.8,16064,249,21,222
50,11,11,1.000,348.7,3835.5,11993,224,31,202
51,12,12,1.000,300.6,3607.0,10640,237,19,213
52,12,12,1.000,371.4,4456.5,13692,275,22,253
53,14,14,1.000,310.5,4347.3,13802,253,23,225
54,11,11,1.000,370.0,4069.8,12684,248,16,223
55,16,16,1.000,264.0,4224.6,13958,220,37,190
56,16,16,1.000,260.3,4164.4,13922,218,22,192
57,10,10,1.000,402.8,4028.4,13007,229,17,211
58,14,14,1.000,311.9,4366.5,13068,267,50,240
59,11,11,1.000,397.1,4367.9,11910,323,15,304
