case,n_sources,n_cleared,clear_ratio,mean_time_s,virtual_time_s,travel_m,n_measure,n_clear,n_switch
0,11,3,0.273,10428.5,31285.6,4933,6042,8,59
1,16,11,0.688,3108.5,34193.5,15673,6149,43,163
2,10,8,0.800,4222.0,33776.2,13651,6154,28,176
3,11,5,0.455,6370.6,31853.1,6416,6081,19,98
4,12,11,0.917,425.5,4680.5,16538,213,30,196
5,15,10,0.667,3345.6,33455.5,12813,6126,35,138
6,15,4,0.267,7798.4,31193.6,4163,6051,9,71
7,10,9,0.900,3812.3,34310.4,16427,6148,34,165
8,10,1,0.100,30775.8,30775.8,2579,6038,3,59
9,15,2,0.133,15291.0,30582.0,2060,6021,7,40
10,13,2,0.154,15301.2,30602.3,2172,6022,4,42
11,12,4,0.333,7916.9,31667.7,5908,6071,10,93
12,11,7,0.636,4644.7,32512.8,9519,6087,18,106
13,14,2,0.143,15528.7,31057.4,3962,6037,6,58
14,16,1,0.062,31047.6,31047.6,3493,6053,2,76
15,12,10,0.833,3328.9,33288.9,12284,6121,21,144
16,11,9,0.818,456.0,4103.9,14264,193,30,178
17,15,13,0.867,299.6,3895.4,14472,152,30,125
18,16,15,0.938,354.9,5322.8,20719,170,54,137
19,16,7,0.438,4691.6,32841.2,9501,6139,23,163
20,13,0,0.000,inf,30423.2,1526,6016,0,38
21,10,1,0.100,30953.0,30953.0,3480,6038,2,59
22,15,12,0.800,2818.4,33821.3,15226,6101,43,118
23,13,0,0.000,inf,30426.2,1541,6016,0,38
24,11,2,0.182,15475.2,30950.3,2997,6052,4,75
25,15,13,0.867,2617.8,34031.9,15914,6122,27,132
26,16,7,0.438,4575.2,32026.4,7287,6079,20,100
27,15,14,0.933,300.6,4207.7,14619,195,37,170
28,12,8,0.667,4207.1,33656.5,12978,6158,24,183
29,10,1,0.100,30911.2,30911.2,2771,6054,3,76
