variant,clear_ratio,mean_time_s
nominal,1.000,323.3
R_min=950,1.000,335.5
R_min=1050,1.000,288.3
R_max=1400,1.000,313.6
bearing_err=0.8deg,1.000,322.6
bearing_err=1.0deg,1.000,331.2
n_sources=10,1.000,406.6
n_sources=16,1.000,251.9
